"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 13:38:17 GMT 2023","Sun Mar 26 13:38:17 GMT 2023","3","","LabelsTest","","LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Mar 26 13:38:17 GMT 2023","Sun Mar 26 13:38:17 GMT 2023","32","","LabelsTest","","LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
